BLOCKID10,ncessch_3,high_schnm,ncessch_2,mid_schnm,ncessch_1,primary_schnm
371559619002028,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559619002054,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617002069,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617002065,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617002058,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619002047,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619001058,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619001016,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619001018,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559618022047,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559619002005,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559619001004,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619002051,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616021070,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559618021091,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559617002043,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617001044,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617003001,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617001062,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616023001,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559617004012,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616022007,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616022042,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559613011095,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559618024022,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559616021083,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616023017,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616021102,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616023028,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559603003014,370393002239,Red Springs High,370393002240,Red Springs Middle,370393002238,Peterson Elementary
371559604014023,370393002102,Purnell Swett High,,No Middle School SAB,370393001583,Prospect Elementary
371559616022054,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616022030,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617003053,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559602012007,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602012034,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013075,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602012044,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393001585,Rex-Rennert Elementary
371559602012046,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393001585,Rex-Rennert Elementary
371559602012050,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393001585,Rex-Rennert Elementary
371559602013091,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602012053,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393001585,Rex-Rennert Elementary
371559602013032,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602012071,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602011010,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602011005,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602011017,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559617001049,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559602011047,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602011021,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559604011074,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559604011010,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559604011009,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559604011021,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559604011109,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559604011070,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559618012021,370393002184,South Robeson High,370393001579,Pembroke Middle,370393001590,Union Elementary
371559606003040,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559608012089,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002248,West Lumberton Elementary
371559608021063,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559608021069,370393002237,Lumberton Senior High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559613022005,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559619005020,370393002184,South Robeson High,370393002183,Rowland Middle,370393001588,Southside/Ashpole Elem
371559617001002,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559610003000,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559610003073,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559604011125,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559604011089,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559604011150,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
