,ncesid,HRTOTLT,ppin,p410,FTE,Unnamed: 0,name,addr,city,stabbr,zip,cnty15,geometry,level,schtype,lat,lon,schyr,numstaff
0,370004002349,,,,7.99,0,CIS Academy,818 West 3rd Street,Pembroke,NC,28372,37155,POINT (-79.20335664043833 34.68503759480223),99,1,34.68503759480223,-79.20335664043833,2015-2016,7.99
1,370034603302,,,,15.0,1,Southeastern Academy,12251 NC HWY 41 North,Lumberton,NC,28358,37155,POINT (-78.87378865362859 34.65169717880272),99,1,34.65169717880272,-78.8737886536286,2015-2016,15.0
2,370225003249,,,,36.25,2,Sandy Grove Middle,300 Chason Road,Lumber Bridge,NC,28357,37155,POINT (-79.06581931618486 34.89650979378273),99,1,34.896509793782734,-79.06581931618486,2015-2016,36.25
3,370393001569,,,,23.84,3,Deep Branch Elementary,4045 Deep Branch Road,Lumberton,NC,28360,37155,POINT (-79.14600999186194 34.63037683072379),99,1,34.63037683072379,-79.14600999186194,2015-2016,23.84
4,370393001570,,,,22.98,4,Fairgrove Middle,1953 Fairgrove Sch Road,Fairmont,NC,28340,37155,POINT (-79.17370687961406 34.49329831006692),99,1,34.49329831006692,-79.17370687961406,2015-2016,22.98
5,370393001571,,,,15.8,5,Green Grove Elementary,1850 School Road,Fairmont,NC,28340,37155,POINT (-79.14273972087641 34.55749711706876),99,1,34.55749711706876,-79.1427397208764,2015-2016,15.8
6,370393001572,,,,43.22,6,Littlefield Middle,9674 NC Hwy 41 N,Lumberton,NC,28358,37155,POINT (-78.91623067398714 34.64508008412228),99,1,34.64508008412228,-78.91623067398714,2015-2016,43.22
7,370393001573,,,,24.53,7,Long Branch Elementary,10218 NC 72 East,Lumberton,NC,28358,37155,POINT (-78.95646719569689 34.53306742472606),99,1,34.533067424726056,-78.95646719569689,2015-2016,24.53
8,370393001574,,,,45.56,8,Magnolia Elementary,10928 US 301 North,Lumberton,NC,28360,37155,POINT (-79.00366815192379 34.71220655572956),99,1,34.71220655572956,-79.00366815192379,2015-2016,45.56
9,370393001575,,,,21.35,9,Orrum Middle,1684 South Creek Road,Orrum,NC,28369,37155,POINT (-79.00943227625665 34.46425839547371),99,1,34.46425839547371,-79.00943227625665,2015-2016,21.35
10,370393001576,,,,19.18,10,Oxendine Elementary,5599 Oxendine School Rd,Maxton,NC,28364,37155,POINT (-79.26317964381715 34.81010651845104),99,1,34.81010651845104,-79.26317964381715,2015-2016,19.18
11,370393001577,,,,32.85,11,Parkton Elementary,400 North Green Street,Parkton,NC,28371,37155,POINT (-79.00631344081658 34.90387184908366),99,1,34.903871849083664,-79.00631344081658,2015-2016,32.85
12,370393001578,,,,38.4,12,Pembroke Elementary,505 South Jones Street,Pembroke,NC,28372,37155,POINT (-79.19435654937362 34.67814062401999),99,1,34.67814062401999,-79.19435654937362,2015-2016,38.4
13,370393001579,,,,42.57,13,Pembroke Middle,8910 Deep Branch Road,Pembroke,NC,28372,37155,POINT (-79.21188668792983 34.67493562808383),99,1,34.67493562808383,-79.21188668792983,2015-2016,42.57
14,370393001581,,,,37.4,14,Piney Grove Elementary,1680 Piney Grove Road,Lumberton,NC,28358,37155,POINT (-79.03834029249344 34.68615865716654),99,1,34.686158657166544,-79.03834029249344,2015-2016,37.4
15,370393001583,,,,52.94,15,Prospect Elementary,4024 Missouri Road,Maxton,NC,28364,37155,POINT (-79.29500979640778 34.73313631448021),99,1,34.73313631448021,-79.29500979640778,2015-2016,52.94
16,370393001585,,,,25.4,16,Rex-Rennert Elementary,11780 Rennert Road,Shannon,NC,28386,37155,POINT (-79.08921317575731 34.8443896362515),99,1,34.8443896362515,-79.08921317575731,2015-2016,25.4
17,370393001588,,,,17.2,17,Southside/Ashpole Elem,607 S Martin L King Jr St,Rowland,NC,28383,37155,POINT (-79.29743968554152 34.53383699961305),99,1,34.53383699961305,-79.29743968554152,2015-2016,17.2
18,370393001589,,,,28.88,18,Union Chapel Elementary,4271 Union Chapel Road,Pembroke,NC,28372,37155,POINT (-79.13411016815866 34.71279651378435),99,1,34.71279651378435,-79.13411016815866,2015-2016,28.88
19,370393001590,,,,23.29,19,Union Elementary,2547 NC Hwy 710 South,Rowland,NC,28383,37155,POINT (-79.25019992731022 34.62667677925854),99,1,34.62667677925854,-79.25019992731022,2015-2016,23.29
20,370393002049,,,,17.75,20,Robeson Co Career Ctr,1339 Hilly Branch Road,Lumberton,NC,28359,37155,POINT (-79.12360764715368 34.59114800040614),99,1,34.59114800040614,-79.12360764715368,2015-2016,17.75
21,370393002050,,,,36.4,21,East Robeson Primary,4840 7th Street Road,Lumberton,NC,28358,37155,POINT (-78.92394260188608 34.62469513861701),99,1,34.62469513861701,-78.92394260188608,2015-2016,36.4
22,370393002051,,,,16.2,22,R B Dean Elementary,202 S Hooper St,Maxton,NC,28364,37155,POINT (-79.34481445940865 34.73274021259314),99,1,34.73274021259314,-79.34481445940865,2015-2016,16.2
